3721,GREAT!action+1
3731,NTDTV
3750,POP
3751,GREAT!romance+1
3753,KanshiTV
3760,History+1
3771,GREAT!movies+1
3802,ComedyCentral+1
3809,HDDave
3812,TLCHD
3815,CHSTV
3825,HDU&Alibi
3831,MTVHD
3835,HDSkySportsF1
3839,SDSkySports+
3845,HDLiverpoolFCTV
3914,IqraBangla
3916,ColorsRishteyVBI
3939,HDSkySportsFootball
3940,HDSkySports+
4002,HDSkySportsMainEvent
4003,HDDiscovery
4010,HDSkySportsPremLeague
4014,HDSkyCinemaAction
4015,SkyGreatsHD
4016,HDSkyCinemaDrama
4017,HDSkyCinemaScFi/Hor
4018,HDSkyCinemaFamily
4019,SkyCinemaComedyHD
4020,SkyCinemaSelectHD
4021,SkyCinemaPremiereHD
4022,HDSkySportsAction
4025,HDNatGeoWild
4026,HDSkySportsGolf
4030,BoomerangHD
4031,NatGeoHD
4032,SkySportsRacingHD
4033,HDSkyCinemaHits
4039,NickJrHD
4040,TNTSports4HD
4043,HDMore4
4044,HDFilm4
4045,HDSonyTVAsia
4046,HDSonyMaxTV
4047,UtsavGoldHD
4049,HDSkySportsNews
4050,HDSkyNews
4053,HDSkyAtlantic
4058,5HD
4061,SkyMaxHD
4062,SkyCinemaThrillerHD
4063,HDSkyArts
4066,HDSkyWitness
4069,HDNickelodeon
4075,C4HD
4077,HDCartoonNetwork
4081,HDSkySportsCricket
4086,HDSkyHistory
4088,HDCrime+Inv
4090,HDSkySportsMix
4091,SkySportsMix
4100,BestDirect
4105,QVCBeauty
4110,GeoUK
4191,XpandedTV
4192,TelevisionX
4195,AdultChan
4197,babes&brazzers
4216,POP+1
4262,POPMax
4263,POPMax+1
4265,ARYDigital
4266,GREAT!tv
4330,SDSkyCrime+1
4340,NickJr.Too
4403,IslamTV
4404,FaithWorldTV
4407,GeoNews
4408,Takbeer
4420,Movies24
4421,Movies24+
4460,MadaniChnl
4461,iONTV
4502,HorrorXtra+1
4505,ClublandTV
4540,NTV
4541,NOW80s
4547,QuestRed+1
4604,EuronewsEnglish
4610,Legend
4645,SDSkyNewsArabia
5032,TNTSportsExtraTst2
5033,TNTSportsExtraTst2
5040,AriseNews
5071,TRTWorld
5087,Akaal
5089,NickJnr+1
5090,LondonTV
5205,HUMEUROPE
5211,IslamChUrdu
5237,HDTRTWorld
5245,Disc.Turbo+1
5252,TalkingPictures
5272,HDRacingTV
5300,UtsavPlusHD
5338,GREAT!tv+1
5354,FaithUK
5426,TVOne
5431,SONYMAX2
5450,TLC
5451,TLC+1
5452,ID+1
5500,PBSAmerica
5520,Channels24
5541,HDDaystar
5601,CartoonNetworkUKDual
5603,Boomerang+1UK
5609,Boomerang
5610,CartoonNetwork+1UKDual
5701,S4/CVBI
5703,B4UMovies
5706,HighStreetTV
5708,B4UMusic
5715,PTCPUNJABI
5882,TVCNews
6014,TNTSBoxOffHD
6155,ITV1+1London
6241,ITV2+1
6261,ITV3+1
6274,ITV4+1
6504,ITV1HDLondon
6513,HDU&Gold
6532,ITV2HD
6533,ITV3HD
6534,ITV4HD
6753,ATN
6754,IqraTV
6761,QUEST
6765,AhlebaitTVDual
7201,SkySportsMainEventUHD
8040,MySky
8266,MyAccount
8301,ProgramYourRemote
8331,HelpandSupport
8346,ResetyourPIN
8459,GetSkyProducts
